# 2017-12-07
# num_trials=1000
# using N_mut_list
# ngens=1
# wrap_attributes =false
# additive_error=false
# int_burn_in=125
# neutral=true
# ideal=1.0
# fit_slope=1.0
N,N_mut,mutation_stddev,num_attributes,fitness_mean,fitness_coef_var,attribute_mean,attribute_coef_var,fit_diff_neg_fract,fit_diff_neg_neutral,fit_diff_pos_neutral,fit_diff_pos_fract
6400,0.125,1.953125e-5,1,1.0,0.0,0.9991729441075463,0.0011765700330562672,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0001625288243827,0.000924783088739597,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.003256993138889,0.0007558280495466665,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9989528783200015,0.0013458450114784784,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0005193689312348,0.0011851501241102486,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9995890615463101,0.001026499189257657,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9971155726738061,0.0021364059056946647,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0035355145505016,0.0008400948469952294,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9943271130977652,0.001347294864112588,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9997056095283929,0.0008518966489886459,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0015115458108013,0.001223441437509893,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.996973764140769,0.0011568457315556896,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9974734780338901,0.0016763443922400098,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.000122768545056,0.0016067369821114578,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9975246888961871,0.0009467146027109854,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9992394044403272,0.0006331099339524898,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9991999415988002,0.0011589125335181995,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9971367578653859,0.0017011576718416574,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0001537631072857,0.0012563872161936295,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0011980534847933,0.0012152528982871539,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9985805387191173,0.0013757855868341,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9986622786150974,0.002283709462655764,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9968819592431056,0.0013594522048682312,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9998889521448296,0.0010464995872570626,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9988949841948918,0.001332425482999545,0.0,0.0,1.0,0.0
